link,title,company,additional_title,job_desc,include_keyword,exclude_keyword
https://www.jobstreet.co.id/id/job/back-end-developer-4494509?jobId=jobstreet-id-job-4494509&sectionRank=1&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Back End Developer,PT Transindo Data Perkasa,"Bandung
Ditayangkan pada 10-Oct-23","Persyaratan:
Usia 21-35 Tahun
Pendidikan Minimal D3/S1 Teknik Informatika/Sistem Informasi
Menguasai MySQL, Laravel (PHP), Node.js, Firebase, ParseDB
Mampu bekerja dalam tim dan mampu menggunakan Git
Diutamakan bagi yang memiliki pengalaman > 1 tahun
Memiliki portofolio yang bisa dipresentasikan
Penempatan Kota Bandung",sql,-
https://www.jobstreet.co.id/id/job/software-engineer-4491579?jobId=jobstreet-id-job-4491579&sectionRank=2&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Software Engineer,PT DAKSA,"Bandung
Ditayangkan pada 6-Oct-23","Responsibilities
Develop secure, reliable, and scalable system and web or desktop based app for enterprise and financial system.
Working in team work to ensures objectives are achieved in time.
Requirements
Minimum degree in informatics engineering, computer science, information system, or related fields.
Have experience in Java and related technology such as Java EE, Spring, Hibernate.
Have experience in using SQL or NoSQL databases, such as PostgreSQL, Oracle, MongoDB.
Good knowledge of 00P, Design Pattern, and Service Based architecture like Microservice and SOA.
Have experience in using web client technology like HTML, CSS, and Javascript.
Eager to learn and passionate of the latest technology.",sql,-
https://www.jobstreet.co.id/id/job/game-developer-mobile-html5-web-multiplayer-programmer-5551698/origin/my?jobId=jobstreet-my-job-5551698&sectionRank=3&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Game Developer ( Mobile HTML5 / Web / Multiplayer / Programmer ),Impact360 Solutions Sdn Bhd,"Beberapa lokasi kerja
IDR 4.000.000 - IDR 8.000.000
Ditayangkan pada 9-Oct-23","We are hiring remote HTML5 game developers from all parts of Indonesia. If you have real experience building HTML5 games or applications, you're highly encouraged to apply.
Very important notes:
- In your application, please send samples of your past HTML5 related projects. We evaluate all projects very seriously.
- If you have experience doing HTML5 multiplayer or HTML5 3D games, this is a plus point.
- We are only hiring technical game programmers. If you are a sales/product manager/someone of a very senior rank, please do not apply.
- Please apply in English only
Responsibilities:
1) The ideal candidate shall build web and mobile games using cutting edge HTML5 technology.
2) Responsible for developing web and mobile application.
3) To provide maintenance and support of application development.
The candidate should know:
1) responsive web design,
2) how to build lightweight mobile front end applications
3) understand the challenges of designing on the native browsers of Android, iOS and also Desktop browsers (IE, Chrome, Firefox)
Most importantly, we're looking for candidates who fit our company culture, are fast learners, and extremely motivated. Everything else is secondary.
Core requirements:
1) Must have experience in building games, either as school projects or hobby
2) Experience at HTML, HTML5, Javascript and CSS
3) Has built 2D, 3D or multiplayer HTML5 games before, either as side project or real project
4) Strong programming skills. Able to learn new programming languages quickly.
5) Experience developing web apps on mobile devices
6) Ability to communicate in spoken and written English
7) Ability to work independently, in small teams
8) Keen attention to detail, impeccable sense of design. Able to write structured code.
9) Degree or Diploma in Internet/Web Design/Computer Science/Engineering/Multimedia Technology or any related field. If you're from an outside field, but would like to try, we welcome it too.
Bonus points for:
1) Ability to communicate in another foreign language
2) Experience working at a web/digital agency
3) Experience with server side languages
4) Experience working on real HTML5 game projects
5) Knowledge of programming in server side languages (Python/PHP/Ruby).
In your application, please send samples of your past HTML5 related projects or backend systems/applications that you have built. We evaluate all projects very seriously.","python,remote,intern","android,ios"
https://www.jobstreet.co.id/id/job/fullstack-developer-4493823?jobId=jobstreet-id-job-4493823&sectionRank=4&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Fullstack Developer,PT Scada Prima Cipta,"Bandung
Ditayangkan pada 10-Oct-23","Keuntungan :
Tunjangan (Keluarga, kesehatan)
Asuransi (Kesehatan dan Kecelakaan)
Pengembangan Diri (Training dan Pendidikan)
Requirements:
Candidates must possess at least a Diploma degree in Computer Science/Information Technology or equivalent
Fluent in Java programming languages
Proficiency in HTML, CSS, and JavaScript and knowledge of CSS preprocessors
Fluent in Vue.JS, and other modern JavaScript Frameworks (React.JS, Angular.JS, Kendo.UI)
Experience of using MVC Frameworks (Spring, Spring Boot, etc.)
Familiar with SQL or NoSQL
Familiar with Git
Strong grasp of Object-Oriented Programming and Functional Concepts
Up-to-date with the latest technologies and industry trends
Fluent in English – both written and oral communication skills
Eager to learn, have a strong work ethic, and are committed to developing their skills and knowledge in their chosen field",sql,fullstack
https://www.jobstreet.co.id/id/job/it-programmer-mes-system-4495158?jobId=jobstreet-id-job-4495158&sectionRank=5&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,IT Programmer MES System,PT Shinwon Indonesia,"Jawa Barat
Ditayangkan pada 11-Oct-23","Menguasai Bahasa Pemrograman Dasar SQL, Oracle, Java, HTML, IoT
Mengerti Algoritma Pemograman
Mampu bekerja individu atau team
Mampu bekerja mencapai target yang ditentukan
Memiliki kemampuan berbahasa Inggris lebih diutamakan
Minimal pengalaman 1-5 tahun dibidangnya
Bersedia ditempatkan di Subang Jawa Barat
Mampu bekerja dibawah tekanan
Memiliki pengalaman mengenai sistem MES dan SmartFactory lebih diutamakan","iot,sql",-
https://www.jobstreet.co.id/id/job/expert-data-scientist-4489067?jobId=jobstreet-id-job-4489067&sectionRank=6&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Expert Data Scientist,PT. NUON DIGITAL INDONESIA,"Jawa Barat
Ditayangkan pada 4-Oct-23","Tanggung Jawab Utama:
Menganalisis data dengan menggunakan teknik-teknik analisis statistik dan machine learning untuk mengidentifikasi tren, pola, dan wawasan bisnis yang relevan.
Mengembangkan model prediksi dan algoritma yang canggih untuk meramalkan perilaku pelanggan, permintaan pasar, dan kinerja produk.
Mengolah dan membersihkan data dari berbagai sumber untuk memastikan kualitas dan keakuratan data yang digunakan dalam analisis.
Berkolaborasi dengan tim lintas disiplin untuk mengidentifikasi tantangan bisnis dan mengusulkan solusi berdasarkan analisis data.
Menerapkan metode visualisasi data yang efektif untuk menyajikan wawasan secara jelas kepada pemangku kepentingan.
Kemampuan yang dibutuhkan:
S1/S2 di bidang Ilmu Komputer, Statistik, Matematika, atau bidang yang relevan.
Pengalaman dalam menerapkan teknik analisis data dan machine learning untuk memecahkan masalah bisnis yang kompleks.
Kemampuan dalam menggunakan bahasa pemrograman seperti Python atau R untuk analisis data dan pengembangan model.
Pengalaman dengan alat-alat analisis data seperti pandas, NumPy, scikit-learn, atau alat-alat sejenis.
Pengetahuan tentang teknik visualisasi data dan alat-alat seperti Matplotlib, Seaborn, atau alat visualisasi lainnya.
Kemampuan komunikasi yang baik untuk menyajikan temuan kompleks secara jelas kepada audiens non-teknis.
Keahlian dalam pengolahan dan analisis big data akan menjadi nilai tambah.
Memiliki pengalaman minimal 3 tahun dibidang data science.",python,-
https://www.jobstreet.co.id/id/job/programmer-1037115402?jobId=jobstreet-id-job-1037115402&sectionRank=7&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Programmer,PT. Jago Talenta Indonesia,"Jawa Barat
Ditayangkan pada 4-Oct-23","Pendidikan terakhir minimal S1 Manajemen Informatika/Teknik Komputer
Bersedia di tempatkan di Bandung
Mampu bekerja di bawah tekanan dan target
Memiliki attitude yang baik dan dapat bekerja sama dengan tim
Menguasai satu bahasa pemrograman, seperti Python, Java, C++, atau JavaScript. Kemampuan untuk memahami dan menggunakan algoritma juga sangat penting.

Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 10 October 2023
-",python,-
https://www.jobstreet.co.id/id/job/golang-specialist-4496251?jobId=jobstreet-id-job-4496251&sectionRank=8&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Golang Specialist,PT Satu Nol Tujuh,"Bandung
IDR 4.000.000 - IDR 7.000.000
Ditayangkan pada 11-Oct-23","Your responsibilities include:
Develop codes and scripts for applications
Perform application design and programming
Plan and monitor web applications development
Ensure quality of component design and coding activities
The requirements:
Candidates must have at least a S1 degree in related field
Candidates must have good spoken and written English skill
Candidates with good Japanese language skill are preferable
Candidates who are willing to study Japanese are preferable
Candidates must have good skills of Golang
Candidates who are qualified will be offered board position
Excellent organizational, time management and communication skills
Strong interpersonal skills and adaptability
Solution-oriented and high-level programming skills
Honest and hardworking
Ambitious
Able to work under pressure
Must have strong passion for IT
Must have the willingness to improve themselves and keep learning",excel,-
https://www.jobstreet.co.id/id/job/software-developer-api-integration-specialist-4482507?jobId=jobstreet-id-job-4482507&sectionRank=9&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Software Developer - API Integration Specialist,Geekseat,"Beberapa lokasi kerja
Ditayangkan pada 27-Sep-23","Position Overview: 
We are seeking a highly skilled Software Developer with extensive expertise in API-first development frameworks and a deep understanding of API integrations, food delivery APIs. The ideal candidate will play a pivotal role in designing, developing, and maintaining seamless API integrations that enhance platform functionality and user experience. If you are passionate about creating innovative solutions and have a strong background in API-driven development, we invite you to join our dynamic team. 
Key Responsibilities: 
API Integration and Development: Design, develop, and maintain API integrations to connect platforms with external APIs, including Shopify, Uber Eats, Zomato, and Swiggy food delivery services. 
API-first Development: Champion API-first development methodologies, ensuring that APIs are well-documented, scalable, and follow best practices to support current and future needs. 
Technical Expertise: Leverage your extensive knowledge of API development frameworks to create efficient and reliable integrations that meet business requirements and adhere to industry standards. 
Platform Enhancements: Collaborate with cross-functional teams to identify opportunities for API-driven enhancements to our platform. Develop new features and functionalities that enhance user experience and drive business growth. 
Code Quality and Testing: Write clean, maintainable code and conduct thorough testing to ensure the performance, security, and reliability of API integrations. Implement debugging and troubleshooting when necessary. 
Performance Optimisation: Optimise API performance, responsiveness, and data retrieval to ensure seamless and lightning-fast user experiences. 
Third-party API Management: Manage and monitor third-party API integrations, addressing issues, maintaining documentation, and staying updated with changes and updates from API providers. 
Collaboration and Communication: Work closely with designers, product managers, and other developers to align API integrations with overall project goals and timelines. Communicate effectively to gather requirements, provide updates, and address technical challenges. 
Qualifications and Experience: 
Bachelor's degree in Computer Science, Software Engineering, or related field. 
Proven experience as a Software Developer with a strong focus on API-first development and API integrations. 
Extensive knowledge of API development frameworks and best practices. 
Expertise in working with Shopify API, as well as Uber Eats, Zomato, and Swiggy food delivery APIs. 
Proficiency in programming languages such as Python, Node.js, or others relevant to API development. 
Experience with version control systems (e.g., Git), API documentation tools, and testing frameworks. 
Strong problem-solving skills and attention to detail. 
Excellent communication and teamwork abilities. 
Portfolio showcasing API integration projects and technical capabilities. 
Additional Information: 
This is a full-time position based at our Bandung/Bali office. 
Use of the latest Agile Frameworks
Opportunities to work on Large and Small Projects
Collaboration with Multinational Teams
Employee Benefits Schemes 
Flexible and Co-operative Work Culture
Excellent Work-Life Balance
Competitive Salary and BPJS
Private and Group Corporate English Courses","python,excel",-
https://www.jobstreet.co.id/id/job/backend-developer-4477817?jobId=jobstreet-id-job-4477817&sectionRank=10&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Backend Developer,PT Intersolusi Teknologi Asia,"Beberapa lokasi kerja
IDR 4.500.000 - IDR 9.000.000
Ditayangkan pada 22-Sep-23","Responsibilities :
Your duties will include (but will not be limited to):
Performing or directing website updates.
Developing, maintaining and optimizing database driven applications.
Evaluating code to ensure it is valid, properly structured, meets standards and is compatible with browsers, devices or operating systems.
Working under an Agile development methodology.
Requirements :
Should have a good exposure in OOP and API
At least 1 year experience in Backend Development.
Proficient in Java (Spring/Springboot) and/or PHP Laravel and/or ASP.Net and/or Python (Django/Flask) and/or Golang.
Must have experience in developing high end web based software applications in various areas related to SAAS (Software As A Service).
Strong Knowledge in REST API
Experienced in Frontend Development (Angular/React/VueJS) is a plus.
Must be able to work in a fast paced environment.",python,-
